Company Name,Location,NAICS,Business Description,Month Announced,New/Expansion,New Jobs,Investment (MM$)
"Little Austria, LLC",Loudoun County,311811,Commercial bakery,11/30/2018 12:00:00 AM,N,5,0.371
Inorganic Ventures,Montgomery County,334516,Medical device manufacturing company,11/26/2018 12:00:00 AM,E,10,0.5
Classic Granite & Marble,Powhatan County,327991,Natural stone fabrication and installation,11/16/2018 12:00:00 AM,E,100,10
1901 Group,Fairfax County,519190,Managed IT services provider,11/15/2018 12:00:00 AM,E,225,1
1901 Group,Montgomery County,519190,Managed IT services provider,11/15/2018 12:00:00 AM,E,580,3
TDEC,Russell County,518210,Business Process Outsourcing services,11/15/2018 12:00:00 AM,N,15,0.3
The Wanchese Fish Co.*,Suffolk,311710,"Offers quality ingredients that improve the nutritional integrity of food, supplements, and animal feed",11/15/2018 12:00:00 AM,N,69,2.875
"Amazon, Inc.",Arlington County,454110,Headquarters,11/13/2018 12:00:00 AM,N,25000,2500
Mercury Paper*,Shenandoah County,322121,Converted paper product manufacturing,11/9/2018 12:00:00 AM,E,73,17.2
Carry-On Trailer Corp.,Westmoreland County,336212,Manufactures of steel and utility trailers,11/8/2018 12:00:00 AM,E,42,1.625
Premier Tech*,King & Queen County,212399,"Manufactures peat moss, fertilizer, and aggregates",11/8/2018 12:00:00 AM,E,20,1.89
Treo Enterprise Solutions,Henrico County,337212,Millwork custom architectural manufacturing,11/5/2018 12:00:00 AM,E,0,0.11
"Rising Tides Solutions, LLC",Henrico County,541511,Custom computer software for data analytics,11/2/2018 12:00:00 AM,E,90,0.9265
O'Sullivan Films Corporation*,Winchester,326113,"Vinyl, polymer, alloy, sheets, and films",11/2/2018 12:00:00 AM,E,61,10.3485
"QLF, Inc.",Pittsylvania County,311119,Manufactures liquid feed supplements for animals,11/1/2018 12:00:00 AM,N,15,3.5
Harlow Fastech*,Pittsylvania County,332322,"Provider of precision engineered, fabricated, machined, and 3D printed additive components",11/1/2018 12:00:00 AM,N,49,8
"M S International, Inc.",Norfolk,493110,"Importer and distributor of natural stones, countertops, landscaping tiles, and porcelain",10/25/2018 12:00:00 AM,N,20,4.65
KPMG LLC,Fairfax County,541612,"Audit, tax, and advisory services",10/24/2018 12:00:00 AM,E,521,31.4262
PointOne*,Virginia Beach,518210,Real estate data center,10/23/2018 12:00:00 AM,N,60,80
Two Six Labs,Arlington County,334111,Provides engineering services and products for national and homeland security,10/23/2018 12:00:00 AM,E,87,3.4
"BGF Industries, Inc.*",Danville,541710,"Manufacturer of high performance fabrics and materials serving the aerospace, marine, filtration, insulation, automotive, electrical, protection and construction services",10/16/2018 12:00:00 AM,N,65,7
"Wize Solutions, LLC",Washington County,541519,Provides services for core functions of middle market firms,10/15/2018 12:00:00 AM,N,100,0.2
"Empire Bakery Commissary, LLC",Franklin County,311812,Manufactures ready-made cookies and single serve desserts for grocery retailers,10/15/2018 12:00:00 AM,E,75,10.4
Hampton Farms,Southampton County,311911,Peanut butter production,10/1/2018 12:00:00 AM,E,14,5.735
"Micro Blenders, Inc.",Pittsylvania County,311119,Provides specialized pre-mix services for animal nutrition,9/28/2018 12:00:00 AM,N,15,3.5
Synfuels Americas Corporation*,Loudoun County,335999,Energy conversion technology provider for coal and gas,9/28/2018 12:00:00 AM,E,4,0.1
Bechtel Corporation,Fairfax County,551114,"Engineering, construction, project management",9/28/2018 12:00:00 AM,E,150,0
"Breakout Capital Finance, LLC",Fairfax County,522298,Provides lending to small businesses,9/28/2018 12:00:00 AM,E,20,0
Databricks,Fairfax County,541511,Provides Unified Analytics Platform to build data products,9/28/2018 12:00:00 AM,E,15,0
"The Tauri Group, Inc.",Fairfax County,541512,"Analytical consulting in the area of security, defense, science, and IT",9/28/2018 12:00:00 AM,E,32,0
Belmont Peanuts,Southampton County,311911,Peanut processing,9/27/2018 12:00:00 AM,E,15,2.5
Harris Corporation,Roanoke County,334511,Manufactures image intensified night vision devices,9/26/2018 12:00:00 AM,E,97,10
Facebook,Henrico County,518210,Data center for social media company,9/26/2018 12:00:00 AM,E,200,750
WestRock,Covington,322211,Corrugated container manufacturing,9/25/2018 12:00:00 AM,E,0,248.4
"Monogram Snacks, LLC",Henry County,311612,Meat snacks,9/19/2018 12:00:00 AM,E,300,30
"Amazon.com, Inc.",Loudoun County,493110,Fulfillment center,9/18/2018 12:00:00 AM,E,70,5
Punita Group,Loudoun County,424310,Importer of fine leather goods,8/31/2018 12:00:00 AM,E,5,0.2
"Micron Technology, Inc.",Manassas,334413,Semiconductor manufacturer,8/29/2018 12:00:00 AM,E,1100,3000
"WillowTree, Inc.",Albemarle County,541511,Mobile Application,8/27/2018 12:00:00 AM,E,200,12.3
DMY Engineering Consultants,Loudoun County,541330,Offers geotechnical services,8/24/2018 12:00:00 AM,E,7,0.7
The Winery at Bull Run,Fairfax County,312130,Winery,8/23/2018 12:00:00 AM,E,38,1.7
"Ocean Network Express, Inc.*",Richmond City,483111,Deep sea freight transportation,8/22/2018 12:00:00 AM,E,129,2.55
"Axios Media, Inc.",Arlington County,519130,"Internet publishing, Broadcasting, and Web Search Portals",8/22/2018 12:00:00 AM,E,155,1.5
"MAG Aerospace Industries,Inc.",Fairfax County,332999,"Provider of manned/unmanned full-spectrum outsourced Intelligence, Surveillance, and Reconnaissance services",8/21/2018 12:00:00 AM,E,120,5.5
AFL Global,Washington County,331315,"Manufacturer of fiber optic cable, connectivity, and accessories",8/20/2018 12:00:00 AM,N,20,1.3
Medliminal LLC,Manassas,541511,Provides software that eliminates billing errors,8/16/2018 12:00:00 AM,E,70,2.4
Sumitomo Machinery Corporation of America*,Augusta County,333612,Global leader in power transmission and recognized as one of the premier power transmission and control solution,8/14/2018 12:00:00 AM,E,0,6
"InterChange Cold Storage, LLC",Rockingham County,493120,Third party logistics and warehousing,8/13/2018 12:00:00 AM,E,88,41.6
"OneWeb, LLC",Fairfax County,517410,Satellite design company,8/9/2018 12:00:00 AM,E,350,20
averhealth,Henrico County,551114,Health care company,8/9/2018 12:00:00 AM,E,50,0.325
NIBCO of Virginia,Augusta County,332913,Provider of metal fittings and flow control products,8/7/2018 12:00:00 AM,E,30,14
Symplicity Corporation,Arlington County,541511,Developer of CRM and workforce management software,8/4/2018 12:00:00 AM,E,120,0.3
TQ Systeme*,Chesapeake,335312,Design and engineering firm for electronic subsystems and systems,8/1/2018 12:00:00 AM,N,20,0
Sabra Dipping Co.*,Chesterfield County,311941,Manufactures hummus and vegetable dips,7/31/2018 12:00:00 AM,E,12,0
"Sugar Hill Cidery, LLC",Norton,312120,Cidery,7/31/2018 12:00:00 AM,E,6,0.5
Press Glass*,Henry County,327211,Industrial flat glass manufacturing,7/30/2018 12:00:00 AM,N,212,43.55
Cascades Inc.*,Hanover County,322211,"Produces, converts, and markets packaging and tissue products composed mainly of recycled fibers",7/26/2018 12:00:00 AM,N,140,275.01
Packaging Corporation of America,Harrisonburg,322211,Corrugated packaging manufacturer,7/26/2018 12:00:00 AM,E,0,35.3
Aurora Flight Sciences,Manassas,541712,Develops and manufactures advanced unmanned systems and aerospace vehicles,7/26/2018 12:00:00 AM,E,135,13.75
Hermitage Hill Farm and Stables,Augusta County,312120,Farm brewery,7/23/2018 12:00:00 AM,E,7,0.5
Remington Mulch Company,Loudoun County,541320,"Supplies mulch, soils, and woodchips to landscapers and homeowners",7/20/2018 12:00:00 AM,E,30,6.5
"Speyside Bourbon Cooperage, Inc.*",Smyth County,321920,Stave mill for craft beverage industry,7/20/2018 12:00:00 AM,E,125,26
"Speyside Bourbon Cooperage, Inc.*",Washington County,321920,Stave mills for craft beverage industry,7/20/2018 12:00:00 AM,E,35,9
"Blue Ridge Optics, LLC",Bedford County,334510,Manufactures precision optical components and coatings,7/19/2018 12:00:00 AM,E,0,0.75
"Excivity, Inc.",Fairfax County,541511,A developer of custom software and hardware technologies,7/16/2018 12:00:00 AM,E,45,0.3921
"Reservoir International, LLC",Arlington County,541690,Security consulting and training,7/15/2018 12:00:00 AM,N,100,0
TORC Robotics,Montgomery County,541330,Control and navigation systems for unmanned vehicles and robotics,7/13/2018 12:00:00 AM,E,55,2
"Smyth Companies, Inc.",Bedford County,323111,Manufactures flat and pressure sensitive labels,7/12/2018 12:00:00 AM,E,0,6.5
