Company Name,Location,NAICS,Business Description,Jobs Lost,Type,Month Announced,Month Closing / Layoff
NetCentrics Corporation,Arlington County,541512,Leading provider of IT services to the government,90,Layoff,10/11/2018 12:00:00 AM,11/29/2018 12:00:00 AM
NetCentrics Corporation,Alexandria,541512,Leading provider of IT services to the government,59,Layoff,10/11/2018 12:00:00 AM,11/29/2018 12:00:00 AM
Bristol Compressors International,Washington County,333912,"Compressors; air conditioning, heating",470,Closing,7/31/2018 12:00:00 AM,9/28/2018 12:00:00 AM
General Dynamics Information Technology,Chesapeake,541512,Computer services provider to federal government clients,101,Layoff,7/30/2018 12:00:00 AM,9/30/2018 12:00:00 AM
"CenseoHealth, LLC",Fairfax County,621610,Health organization spanning from health risk evaluations to complex care management,144,Closing,7/24/2018 12:00:00 AM,8/31/2019 12:00:00 AM
Coca-Cola Bottling Co. Consolidated,Bristol,493110,Warehouse and logistics center,10,Closing,7/18/2018 12:00:00 AM,10/18/2018 12:00:00 AM
"Tailored Brands, Inc.",Richmond City,448110,Leading retailer of men's tailored clothing and largest men's formalwear provider,64,Closing,6/29/2018 12:00:00 AM,8/31/2018 12:00:00 AM
The Corsi Group,Charlotte County,337110,Manufactures cabinets,52,Closing,6/20/2018 12:00:00 AM,9/30/2018 12:00:00 AM
Northop Grumman Systems Corporation,Chesterfield County,541512,Operations center; IT services; data center,348,Reduction,6/14/2018 12:00:00 AM,8/17/2018 12:00:00 AM
General Electric Company,Salem,335110,Designs and manufactures control systems and integrated circuit boards for gas and steam generators,265,Closing,6/8/2018 12:00:00 AM,6/7/2019 12:00:00 AM
Green Flash,Virginia Beach,312120,Craft brewery,43,Closing,3/26/2018 12:00:00 AM,3/26/2018 12:00:00 AM
Amazon,Loudoun County,454111,Electronic Shopping,67,Layoff,3/7/2018 12:00:00 AM,5/6/2018 12:00:00 AM
"NJVC, LLC",Fairfax County,518210,"IT automation, optimization, and security to empower mission-enabling IT for customers with secure requirements",113,Layoff,3/7/2018 12:00:00 AM,4/25/2018 12:00:00 AM
"Schneider National Carriers, Inc",Orange County,484121,Trucking Company,181,Layoff,3/1/2018 12:00:00 AM,4/30/2018 12:00:00 AM
Quality Technology Services,Loudoun County,518210,"National provider of data facilities and professionally managed IT, cloud computing, and hosting services to enterprise businesses.",52,Layoff,2/21/2018 12:00:00 AM,4/30/2018 12:00:00 AM
General Dynamics Information Technology,Fairfax County,541512,Computer services provider for federal government clients,73,Layoff,2/19/2018 12:00:00 AM,4/24/2018 12:00:00 AM
Dormeo-US Octaspring Operations Inc,Winchester,337910,Company manufactures memory foam matresses,33,Closing,2/9/2018 12:00:00 AM,3/19/2018 12:00:00 AM
AES Corporation,Arlington County,221122,Provider of sustainable energy to distribution businesses as well as thermal and renewable generation facilities,70,Layoff,2/5/2018 12:00:00 AM,4/6/2018 12:00:00 AM
"BAE Systems, Inc*",Loudoun County,336413,"Provider of advanced, technology-led defence, aerospace, and security solutions.",141,Layoff,1/29/2018 12:00:00 AM,3/20/2018 12:00:00 AM
Telvista*,Danville,561422,Call Center,300,Closing,1/5/2018 12:00:00 AM,3/7/2018 12:00:00 AM
"Metrie, Inc.",Hanover County,321918,Company manufactures and distributes interior finishings.,59,Closing,1/4/2018 12:00:00 AM,3/1/2018 12:00:00 AM
Old Dominion Peanut Company,Norfolk,311340,Manufactures peanut brittle and other candy,69,Closing,1/4/2018 12:00:00 AM,3/9/2018 12:00:00 AM
Rosetta Stone,Rockingham County,511210,Foreign language teaching software,12,Closing,12/11/2017 12:00:00 AM,4/2/2018 12:00:00 AM
Taylor Communications,Henrico County,541613,"Provider of market-specific insights, compelling portfolio of solutions to healthcare, financial services, commercial and industrial markets.",50,Closing,12/7/2017 12:00:00 AM,2/16/2018 12:00:00 AM
Capital One Financial Corp.,Richmond City,551111,Diversified financial services holding company with banking and non-banking subsidiaries.,10,Layoff,11/7/2017 12:00:00 AM,1/7/2018 12:00:00 AM
Shaw Industries,Patrick County,321918,Solid hardwood floor manufacturer.,160,Closing,10/31/2017 12:00:00 AM,12/29/2017 12:00:00 AM
"Shaw Industries Group, Inc.",Patrick County,3144110,Manufactures solid hardwood flooring.,166,Closing,10/31/2017 12:00:00 AM,10/31/2017 12:00:00 AM
Leidos,Fairfax County,541611,"Provides scientific, engineering, systems integration, and technical services.",62,Layoff,10/24/2017 12:00:00 AM,12/29/2017 12:00:00 AM
General Dynamics Information Technology,Alexandria,541512,Computer services provider to federal government clients,92,Closing,10/16/2017 12:00:00 AM,12/18/2017 12:00:00 AM
Cardinal Logistics Management Corp,Salem,541614,Provider of logistics and transportation solutions,69,Layoff,10/2/2017 12:00:00 AM,12/2/2017 12:00:00 AM
Bayshore Concrete*,Northampton County,327390,Pre-cast concrete products,100,Layoff,9/26/2017 12:00:00 AM,11/27/2017 12:00:00 AM
DSC Logistics,Rockbridge County,541614,Warehousing and logistics management services,70,Layoff,8/14/2017 12:00:00 AM,10/2/2017 12:00:00 AM
"Land-O-Sun Dairies, LLC",Richmond City,31151,Fluid milk processing,71,Closing,8/10/2017 12:00:00 AM,10/31/2017 12:00:00 AM
Telvista*,Danville,561422,Call center,222,Layoff,7/28/2017 12:00:00 AM,9/30/2017 12:00:00 AM
First Potomac Realty Trust,Fairfax County,252990,Real estate investment trust,18,Layoff,7/28/2017 12:00:00 AM,7/28/2017 12:00:00 AM
General Foam Plastics,Virginia Beach,326199,"Manufacturer of pools, pool accessories, and other special plastic products",109,Closing,7/26/2017 12:00:00 AM,8/15/2017 12:00:00 AM
Asheboro Elastics,Southampton County,313220,Manufacturer of resilient elastic bondings,40,Layoff,7/5/2017 12:00:00 AM,8/15/2017 12:00:00 AM
Leidos,Fairfax County,541511,IT services for the public sector,30,Layoff,6/30/2017 12:00:00 AM,8/31/2017 12:00:00 AM
Elkay Wood Products Co.,Pittsylvania County,337110,Cabinetry manufacturer,95,Reduction,6/12/2017 12:00:00 AM,8/12/2017 12:00:00 AM
Marine Hydraulics International Inc. (MHI),Norfolk,336611,Ship repair services,55,Layoff,6/5/2017 12:00:00 AM,6/5/2017 12:00:00 AM
BAE Systems Norfolk Shipyard*,Portsmouth,336611,Shipbuilding and ship repair,300,Layoff,6/2/2017 12:00:00 AM,6/2/2017 12:00:00 AM
Boats Group,Norfolk,519130,Online forum for selling and buying boats,72,Closing,6/1/2017 12:00:00 AM,7/31/2017 12:00:00 AM
BH Media Group Inc.,Roanoke City,511110,Reductions at the Roanoke Times pressroom and mailroom,53,Reduction,5/30/2017 12:00:00 AM,7/31/2017 12:00:00 AM
LSC Communications,Roanoke County,323117,"Book, magazine, and other printing services",140,Closing,5/22/2017 12:00:00 AM,7/23/2017 12:00:00 AM
Bear Island Paper,Hanover County,322122,Newsprint manufacturing mill,164,Layoff,5/16/2017 12:00:00 AM,7/16/2017 12:00:00 AM
Valley Processing,Bedford County,326299,Rubber compounding company,40,Closing,4/20/2017 12:00:00 AM,4/21/2017 12:00:00 AM
Lockheed Martin,King George County,541330,Support personnel for Navy base at Dahlgren,64,Reduction,4/20/2017 12:00:00 AM,6/8/2017 12:00:00 AM
Jacobs Technology,Arlington County,541330,International technical professional services firm,55,Layoff,4/17/2017 12:00:00 AM,6/17/2017 12:00:00 AM
Farm Fresh,Virginia Beach,551114,Grocery chain headquarters,21,Layoff,3/30/2017 12:00:00 AM,3/30/2017 12:00:00 AM
FreightCar America,Roanoke City,336510,Freight car manufacturer,198,Layoff,3/29/2017 12:00:00 AM,5/28/2017 12:00:00 AM
Martin Agency,Richmond City,541810,Advertising agency,16,Reduction,3/14/2017 12:00:00 AM,3/14/2017 12:00:00 AM
"Wilson Trucking Corporation, Inc.",Augusta County,484121,Trucking company,316,Closing,2/28/2017 12:00:00 AM,3/1/2017 12:00:00 AM
"FreightCar America, Inc.",Roanoke City,336510,Freight car manufacturing,168,Layoff,2/15/2017 12:00:00 AM,4/17/2017 12:00:00 AM
Charter Communications,Fairfax County,517110,Wire telecommunications carrier,59,Layoff,2/8/2017 12:00:00 AM,3/30/2017 12:00:00 AM
Aetna Insulated Wire,Virginia Beach,335929,Insulated wire manufacturing,52,Closing,1/30/2017 12:00:00 AM,3/31/2017 12:00:00 AM
Titan Wheel Corp.,Smyth County,336399,Manufacturing wheels for the construction and mining industries,40,Closing,1/4/2017 12:00:00 AM,12/31/2017 12:00:00 AM
CACI International,Fairfax County,541611,Information solutions and services in support of national security and government transformation.,65,Layoff,1/3/2017 12:00:00 AM,3/27/2017 12:00:00 AM
Delivery Agent Holdings Corp.,Albemarle County,541870,Provider of commerce technology and services,134,Closing,12/22/2016 12:00:00 AM,2/22/2017 12:00:00 AM
"Shenker, Inc.*",Chesapeake,541614,Logistics provider,16,Layoff,12/14/2016 12:00:00 AM,2/13/2017 12:00:00 AM
Relay Foods,Charlottesville,493110,HQ; Food distribution warehouse,48,Layoff,12/14/2016 12:00:00 AM,1/15/2017 12:00:00 AM
Volvo Trucks North America*,Pulaski County,336120,Heavy truck manufacturing,519,Layoff,12/13/2016 12:00:00 AM,2/13/2017 12:00:00 AM
The Home Depot,Charles City County,337122,Cabinet refurbishing facility,70,Closing,12/5/2016 12:00:00 AM,1/31/2017 12:00:00 AM
Quad/Graphics,Manassas,323111,Offsett printing plant producing retail advertising inserts,81,Closing,12/1/2016 12:00:00 AM,1/15/2017 12:00:00 AM
"Airport Terminal Services, Inc.",Arlington County,488119,Airport ground operations company,85,Layoff,11/11/2016 12:00:00 AM,1/2/2017 12:00:00 AM
Chubb,Salem,524126,Global property and casualty insurance company,71,Layoff,10/28/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Yokohama Tire Corp.*,Salem,326211,Passenger and light truck tire manufacturing,50,Layoff,10/21/2016 12:00:00 AM,11/30/2016 12:00:00 AM
NJVC,Fairfax County,541512,IT consulting company,46,Layoff,10/18/2016 12:00:00 AM,12/31/2016 12:00:00 AM
"Areva NP, Inc.*",Lynchburg,332410,Manufacturer of nuclear reactor components,12,Layoff,9/26/2016 12:00:00 AM,11/15/2016 12:00:00 AM
HDT Global,Buena Vista,314910,Manufacturer of military tents,74,Closing,9/26/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Nordson Xaloy,Pulaski County,332313,Manufactures syringe barrels for plastics industry,146,Closing,9/16/2016 12:00:00 AM,5/1/2017 12:00:00 AM
Markel,Henrico County,551114,IT department of specialty insurance services provider,40,Layoff,9/13/2016 12:00:00 AM,6/30/2017 12:00:00 AM
Martin Agency,Richmond City,541810,Advertising agency,29,Layoff,9/8/2016 12:00:00 AM,9/8/2016 12:00:00 AM
Arrow Electronics,Hanover County,423690,Electronics distribution,72,Closing,9/7/2016 12:00:00 AM,10/29/2016 12:00:00 AM
Novitex Government Solutions,Loudoun County,561499,Secure mailroom management solutions,55,Closing,8/29/2016 12:00:00 AM,9/30/2016 12:00:00 AM
UPS Freight,Richmond City,4921110,Package delivery,160,Layoff,8/23/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Ibex Global,Hampton,561422,Call Center,215,Reduction,8/14/2016 12:00:00 AM,10/12/2016 12:00:00 AM
Sandvik*,Bristol,333131,Manufactures mineral ground tool products for mining and construction,49,Closing,8/2/2016 12:00:00 AM,9/30/2016 12:00:00 AM
Lockheed Martin,Accomack County,541330,Engineering services,123,Reduction,7/29/2016 12:00:00 AM,10/1/2016 12:00:00 AM
BB&T Securities,Richmond City,523920,Financial services company ending equity research coverage,61,Reduction,7/27/2016 12:00:00 AM,8/24/2016 12:00:00 AM
Volvo Trucks North America*,Pulaski County,336120,Volvo truck manufacturing,300,Layoff,7/15/2016 12:00:00 AM,9/30/2016 12:00:00 AM
Bristol Compressors International,Washington County,333912,Manufacturer of compressors for air conditioning and heating,60,Layoff,7/5/2016 12:00:00 AM,7/8/2016 12:00:00 AM
Genworth Financial,Henrico County,524128,Finance and insurance firm,27,Layoff,6/15/2016 12:00:00 AM,8/16/2016 12:00:00 AM
Genworth Financial,Lynchburg,524128,Insurance and financial services firm,15,Layoff,6/15/2016 12:00:00 AM,8/16/2016 12:00:00 AM
Virginia Forge Company,Botetourt County,332111,Steel forgings for automotive industry,70,Closing,6/10/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Bristol Compressors International,Washington County,333912,Manufacturer of air conditioning components,120,Layoff,5/16/2016 12:00:00 AM,5/20/2016 12:00:00 AM
Innovative Building Systems,Franklin County,321991,Manufacturer of modular homes,219,Closing,5/9/2016 12:00:00 AM,5/13/2016 12:00:00 AM
"Midwesco Filter Resources, Inc.",Winchester,333413,Designs and manufactures industrial air filtration systems,147,Closing,5/5/2016 12:00:00 AM,7/3/2016 12:00:00 AM
HarrisConnect,Chesapeake,541511,"Provider of fundraising and donor relationship management solutions for healthcare, educational, and membership associations.",106,Reduction,4/12/2016 12:00:00 AM,6/11/2016 12:00:00 AM
CACI Inc,Norfolk,541611,Provider of information solutions and services for government,64,Layoff,3/28/2016 12:00:00 AM,5/27/2016 12:00:00 AM
AEC Narrow Fabrics,Southampton County,313220,Elastics manufacturer,5,Layoff,3/21/2016 12:00:00 AM,4/30/2016 12:00:00 AM
Timken,Campbell County,332991,"Manufacturer of ball bearings, transmissions, gear boxes, and belts",124,Closing,3/17/2016 12:00:00 AM,3/17/2017 12:00:00 AM
Sterling Backcheck Company,Winchester,561611,Background check contractor,109,Closing,3/9/2016 12:00:00 AM,8/23/2016 12:00:00 AM
Gannett Publishing Services,Fairfax County,511110,Newspaper publisher,7,Closing,3/5/2016 12:00:00 AM,7/1/2016 12:00:00 AM
Kantar Media*,Chesapeake,541910,Market research firm,50,Closing,3/3/2016 12:00:00 AM,10/8/2016 12:00:00 AM
Genworth Financial,Henrico County,524210,Insurance services,70,Layoff,2/5/2016 12:00:00 AM,4/10/2016 12:00:00 AM
Genworth Financial,Lynchburg,524210,Insurance services,200,Layoff,2/5/2016 12:00:00 AM,4/1/2016 12:00:00 AM
Altria,Henrico County,312230,Headquarters for tobacco manufacturing company,200,Layoff,1/28/2016 12:00:00 AM,3/31/2016 12:00:00 AM
Sprint*,Hampton,561420,Call Center,380,Closing,1/22/2016 12:00:00 AM,3/22/2016 12:00:00 AM
"Areva NP, Inc.*",Lynchburg,332410,Manufacturer of nuclear powerplant components,50,Layoff,1/19/2016 12:00:00 AM,1/31/2016 12:00:00 AM
General Dynamics Mission Systems,Hampton,541512,IT support and consulting for the military,60,Layoff,1/19/2016 12:00:00 AM,3/7/2016 12:00:00 AM
BAE Systems*,Norfolk,336611,Shipbuilding and ship repair,175,Layoff,1/12/2016 12:00:00 AM,3/18/2016 12:00:00 AM
Nationwide Insurance,Lynchburg,524126,Insurance and financial services company,85,Closing,1/7/2016 12:00:00 AM,3/11/2016 12:00:00 AM
Norfolk Southern,Roanoke City,482111,Line-haul railroad company,38,Layoff,1/4/2016 12:00:00 AM,1/4/2016 12:00:00 AM
BAE Systems*,Norfolk,336611,Shipbuilding and ship design,160,Layoff,12/16/2015 12:00:00 AM,11/20/2015 12:00:00 AM
Alion Science and Technology,Arlington County,541611,Business management consulting,114,Layoff,12/8/2015 12:00:00 AM,12/31/2015 12:00:00 AM
Newport News Shipbuilding,Newport News,336611,Shipbuilding and ship design,738,Reduction,12/3/2015 12:00:00 AM,12/4/2015 12:00:00 AM
Volvo Trucks North America*,Pulaski County,336120,Manufacturer of Volvo trucks.,734,Layoff,12/1/2015 12:00:00 AM,2/5/2016 12:00:00 AM
"CACI International, Inc.",Norfolk,541611,Information solutions and services in support of national security and government transformation.,69,Layoff,11/30/2015 12:00:00 AM,1/31/2016 12:00:00 AM
Parexel International,Fairfax County,541712,"Research, development, and consulting",48,Reduction,11/24/2015 12:00:00 AM,1/4/2016 12:00:00 AM
Mitisubishi Kagaku Imaging Corporation (MKIC)*,Chesapeake,333244,Manufacturer of toner and printing supplies,83,Layoff,11/24/2015 12:00:00 AM,1/19/2016 12:00:00 AM
"Range Resources-Pine Mountain, Inc.",Washington County,0,Independent oil and natural gas producer,158,Layoff,11/9/2015 12:00:00 AM,12/31/2015 12:00:00 AM
General Dynamics NASSCO,Norfolk,336611,Shipbuilding and repair,260,Layoff,11/7/2015 12:00:00 AM,1/29/2016 12:00:00 AM
Raytheon Intelligence Information Services,Norfolk,541990,Intelligence analysis and cybersecurity services.,92,Layoff,11/5/2015 12:00:00 AM,1/4/2016 12:00:00 AM
Jacobs Technology,Fairfax County,541614,Engineering and logistics consulting firm.,146,Layoff,10/27/2015 12:00:00 AM,1/12/2016 12:00:00 AM
Gannett Publishing Services,Fairfax County,511110,Publishing services,250,Closing,10/9/2015 12:00:00 AM,2/28/2016 12:00:00 AM
BAE Systems Norfolk Ship Repair*,Norfolk,336611,Shipbuilding and ship repair,650,Layoff,9/22/2015 12:00:00 AM,11/20/2015 12:00:00 AM
Alpha Natural Resources,Dickenson County,212111,Coal mining,527,Closing,9/21/2015 12:00:00 AM,11/20/2015 12:00:00 AM
PAREXEL International,Fairfax County,541712,Research and development,69,Closing,9/2/2015 12:00:00 AM,12/2/2015 12:00:00 AM
Ball Corporation,Bristol,332431,Beverage packaging and end-making,200,Closing,7/29/2015 12:00:00 AM,5/1/2016 12:00:00 AM
Raytheon,Fairfax County,541990,"Intelligence, information, and services",54,Reduction,7/29/2015 12:00:00 AM,9/30/2015 12:00:00 AM
"Printpack, Inc.",Fredericksburg,326121,Plastic food packaging manufacturing,155,Closing,7/25/2015 12:00:00 AM,10/2/2015 12:00:00 AM
Mundet Hermetite,Buena Vista,322130,Cigarette tipping paper,46,Closing,7/15/2015 12:00:00 AM,9/30/2015 12:00:00 AM
"NADART, NADA Retirement Administrators Inc.",Fairfax County,524292,HQ; Retirement and insurance plans,67,Reduction,7/15/2015 12:00:00 AM,9/15/2015 12:00:00 AM
Alpha Natural Resources,Wise County,212112,Coal mining,165,Reduction,7/8/2015 12:00:00 AM,9/6/2015 12:00:00 AM
Home Shopping Network,Roanoke County,454113,"Tv, online, and catalog retailer fulfillment center",257,Closing,6/16/2015 12:00:00 AM,4/16/2016 12:00:00 AM
Avis Budget Group,Virginia Beach,532111,"call center, rental cars",146,Closing,5/29/2015 12:00:00 AM,8/1/2015 12:00:00 AM
Bayshore Concrete Products,Chesapeake,327390,Precast concrete products,81,Closing,5/19/2015 12:00:00 AM,7/19/2015 12:00:00 AM
Carpenter Company,Richmond City,326150,Molded and urethane foam,55,Layoff,4/23/2015 12:00:00 AM,6/24/2015 12:00:00 AM
Raytheon Intelligence Information and Services,Fairfax County,541512,Contractor to National Geospatial-Intelligence Agency,55,Layoff,4/15/2015 12:00:00 AM,6/30/2015 12:00:00 AM
Wyle-Aerospace Group,Arlington County,541330,"Aerospace, engineering, and technical assistance; contractor",67,Reduction,4/6/2015 12:00:00 AM,5/31/2015 12:00:00 AM
Parsons Corporation,Fairfax County,541330,Engineering and construction services,100,Reduction,3/30/2015 12:00:00 AM,5/29/2015 12:00:00 AM
Norfolk Southern Corp.,Roanoke City,482111,Railroad office,426,Reduction,3/27/2015 12:00:00 AM,6/1/2015 12:00:00 AM
"Office Depot, Inc.",Bristol,561422,Customer service center,143,Reduction,2/26/2015 12:00:00 AM,5/22/2015 12:00:00 AM
"Bart & Associates, Inc.",Fairfax County,541511,Government contractor; Software and IT,73,Reduction,2/12/2015 12:00:00 AM,4/16/2015 12:00:00 AM
"Freight Handlers, Inc.",Prince George County,493110,Distribution and logistics warehousing,65,Reduction,2/10/2015 12:00:00 AM,4/18/2015 12:00:00 AM
BB&T Corp.,Roanoke City,561422,Call center,140,Closing,2/1/2015 12:00:00 AM,6/1/2015 12:00:00 AM
"SunCoke Energy, Inc.",Buchanan County,212111,Bituminous Coal and Coke,147,Closing,1/29/2015 12:00:00 AM,1/29/2015 12:00:00 AM
Bank of America,Norfolk,522292,Mortgage operations,202,Reduction,1/28/2015 12:00:00 AM,3/29/2015 12:00:00 AM
nTelos,Botetourt County,561422,Customer support center,53,Closing,1/23/2015 12:00:00 AM,5/23/2015 12:00:00 AM
Iluka Resources*,Greensville County,212299,Titanium mining,120,Closing,1/8/2015 12:00:00 AM,4/15/2015 12:00:00 AM
Harris IT Services,Loudoun County,541511,IT consulting and development,65,Reduction,12/22/2014 12:00:00 AM,2/28/2015 12:00:00 AM
"SunCoke Energy, Inc. (Dominion Coal Corp.)",Buchanan County,212111,Bituminous coal and coke,160,Closing,12/15/2014 12:00:00 AM,2/13/2015 12:00:00 AM
Health Diagnostic Laboratory,Richmond City,621511,Clinical laboratory diagnostics and clinical trial services,162,Reduction,11/1/2014 12:00:00 AM,12/1/2014 12:00:00 AM
Allstate Insurance Company,Roanoke County,561422,Customer support center,185,Reduction,10/16/2014 12:00:00 AM,10/1/2014 12:00:00 AM
Asheboro Elastics Corporation,Southampton County,313220,Rigid and elastic narrow fabric manufacturing,100,Reduction,10/1/2014 12:00:00 AM,11/30/2014 12:00:00 AM
"Intersections, Inc.",Campbell County,561422,Call center; identity theft protection,77,Closing,10/1/2014 12:00:00 AM,12/19/2014 12:00:00 AM
TECO Coal Corporation,Buchanan County,211212,Coal mining,101,Closing,10/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM
Sprint Nextel,Fairfax County,517211,Wireless telecommunications service,235,Reduction,10/1/2014 12:00:00 AM,10/24/2014 12:00:00 AM
Dominion Virginia Power,Chesapeake,221122,Electric power,29,Reduction,10/1/2014 12:00:00 AM,12/28/2014 12:00:00 AM
Keolis Transit America*,Richmond City,485119,Operates transportation systems,106,Reduction,9/30/2014 12:00:00 AM,11/30/2014 12:00:00 AM
"Fluor Enterprises, Inc.",Warren County,541330,"Engineering, procurement, construction, maintenance, and project management.",90,Reduction,9/24/2014 12:00:00 AM,11/30/2014 12:00:00 AM
"General Shale Brick, Inc.*",Botetourt County,327120,Brick manufacturing,45,Closing,9/12/2014 12:00:00 AM,9/1/2014 12:00:00 AM
Wells Fargo,Roanoke County,561422,Banking call center,115,Reduction,9/4/2014 12:00:00 AM,9/1/2014 12:00:00 AM
URS Corporation,Virginia Beach,541330,Architectural and engineering services,208,Reduction,8/29/2014 12:00:00 AM,10/31/2014 12:00:00 AM
DynCorp International Inc.,Fairfax County,541512,Specialized technical services; project management contractor,64,Reduction,8/20/2014 12:00:00 AM,8/31/2014 12:00:00 AM
Trident Seafood Corporation,Bedford County,311412,Manufactures frozen french toast and onion rings,75,Closing,7/18/2014 12:00:00 AM,9/30/2014 12:00:00 AM
Acision,Henrico County,517919,Messaging services to mobile communicatons companies,65,Reduction,7/16/2014 12:00:00 AM,9/9/2014 12:00:00 AM
Intuit,Stafford County,511210,Personal finance software and customer service center,159,Reduction,7/15/2014 12:00:00 AM,9/1/2014 12:00:00 AM
Cumberland River Coal Co.,Wise County,212111,Coal Mine,217,Closing,7/14/2014 12:00:00 AM,9/19/2014 12:00:00 AM
United Arab Shipping Co.*,Chesapeake,483111,Ocean carrier and freight shipping,20,Closing,7/8/2014 12:00:00 AM,9/1/2014 12:00:00 AM
NII Holdings Inc.,Fairfax County,517911,Sells wireless service in Latin America,88,Reduction,7/1/2014 12:00:00 AM,7/31/2014 12:00:00 AM
Electronic Arts Inc.,Fairfax City,541512,Developed online mulitplayer role playing game,69,Closing,6/1/2014 12:00:00 AM,7/1/2014 12:00:00 AM
Carl Zeiss Vision Inc.*,Chesterfield County,326199,Manufacturing custom prescription leneses,73,Reduction,6/1/2014 12:00:00 AM,7/1/2014 12:00:00 AM
"Dickenson-Russell Coal Company, LLC",Dickenson County,212112,Coal mining and distrubtion,121,Closing,6/1/2014 12:00:00 AM,8/1/2014 12:00:00 AM
AMCAD American Cadastre LLC,Fairfax County,541512,Technology and solutions provider,52,Reduction,6/1/2014 12:00:00 AM,6/1/2014 12:00:00 AM
"Jacobs Technology Inc., Advanced Systems Group",Prince William County,541320,Engineering services,84,Reduction,6/1/2014 12:00:00 AM,6/1/2014 12:00:00 AM
"Med-Fit Systems, Inc.",Grayson County,339920,Nautilus brand exercise equipment,61,Reduction,4/1/2014 12:00:00 AM,4/1/2014 12:00:00 AM
