date,county,jobs,new,expansion
2017-06,Bronx,400,,1
2017-03,Bronx,4200,,1
2016-02,Bronx,300,,1
2015-08,Bronx,350,,1
2015-07,Bronx,500,1,
2015-02,Bronx,3000,1,
2017-11,Dutchess,28,1,
2017-10,Dutchess,35,1,
2017-06,Dutchess,80,1,
2016-07,Dutchess,870,1,
2016-04,Dutchess,175,1,
2016-03,Dutchess,20,1,
2016-03,Dutchess,125,1,
2016-03,Dutchess,200,1,
2015-12,Dutchess,15,1,
2015-12,Dutchess,369,1,
2015-07,Dutchess,100,1,
2014-08,Dutchess,165,1,
2014-08,Dutchess,1200,,1
2017-12,Kings,35,,1
2017-04,Kings,200,,1
2016-03,Kings,50,,1
2015-11,Kings,90,1,
2015-08,Kings,27,,1
2015-08,Kings,100,1,
2015-05,Kings,600,1,
2015-03,Kings,25,1,
2015-01,Kings,300,1,
2014-12,Kings,150,1,
2014-09,Kings,250,1,
2014-07,Kings,525,,1
2017-07,Nassau,10,,1
2017-07,Nassau,30,1,
2017-07,Nassau,100,1,
2017-07,Nassau,120,,1
2017-06,Nassau,50,1,
2017-06,Nassau,70,1,
2017-05,Nassau,20,,1
2017-04,Nassau,350,1,
2017-03,Nassau,11,,1
2017-03,Nassau,15,,1
2017-03,Nassau,30,,1
2017-03,Nassau,40,,1
2017-03,Nassau,90,,1
2017-03,Nassau,450,,1
2017-02,Nassau,12,1,
2017-02,Nassau,100,1,
2016-11,Nassau,175,1,
2016-11,Nassau,200,1,
2016-11,Nassau,1300,,1
2016-10,Nassau,15,1,
2016-10,Nassau,30,1,
2016-09,Nassau,100,1,
2016-07,Nassau,75,,1
2016-07,Nassau,75,1,
2016-07,Nassau,100,1,
2016-06,Nassau,20,1,
2016-05,Nassau,100,1,
2016-05,Nassau,300,1,
2016-04,Nassau,21,1,
2016-04,Nassau,30,,1
2016-03,Nassau,21,,1
2016-02,Nassau,20,1,
2016-02,Nassau,20,,1
2016-02,Nassau,35,1,
2016-02,Nassau,90,1,
2016-02,Nassau,150,1,
2016-02,Nassau,300,1,
2016-02,Nassau,400,1,
2016-01,Nassau,40,,1
2016-01,Nassau,40,,1
2016-01,Nassau,57,,1
2016-01,Nassau,500,,1
